# DFOS Guardrails Baseline (Tier 2.1)
# Created: 2026-01-29 15:56:02
# Total: 205 known violations
#
# Format: RULE|FILE|SIGNATURE
# Signature = sha1(matched_line)[0:12] for precise delta detection

REACT-FRAGMENT|web/src/features/leads/DeleteConfirmModal.tsx|55d19f434cd8
REACT-FRAGMENT|web/src/features/leads/DeleteConfirmModal.tsx|96eb4dc6b0d7
REACT-FRAGMENT|web/src/features/leads/DeleteConfirmModal.tsx|55d19f434cd8
REACT-FRAGMENT|web/src/features/leads/DeleteConfirmModal.tsx|96eb4dc6b0d7
REACT-RETURN-NULL|web/src/features/leads/DeleteConfirmModal.tsx|0141655b82ee
REACT-RETURN-NULL|web/src/features/leads/DeleteConfirmModal.tsx|cf04a8134bb4
REACT-EARLY-RETURN|web/src/features/leads/DeleteConfirmModal.tsx|cf04a8134bb4
REACT-FRAGMENT|web/src/features/leads/EditLeadModal.tsx|2b51928efb34
REACT-FRAGMENT|web/src/features/leads/EditLeadModal.tsx|b9474f99139b
REACT-RETURN-NULL|web/src/features/leads/EditLeadModal.tsx|413bdeb1a968
REACT-EARLY-RETURN|web/src/features/leads/EditLeadModal.tsx|413bdeb1a968
REACT-EARLY-RETURN|web/src/features/leads/EditLeadModal.tsx|ae49d7c1c9e8
REACT-RETURN-NULL|web/src/features/leads/LeadSourceModal.tsx|ee5bdec180f9
REACT-EARLY-RETURN|web/src/features/leads/LeadSourceModal.tsx|ee5bdec180f9
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|7249c16ddc2b
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|a5bfeeb8a6c7
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|55b7625d4a1e
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|18dcba576f51
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|3eb6ffe371bc
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|680152fe6988
REACT-EARLY-RETURN|web/src/features/system/SystemDiagnostics.tsx|11a8ff668619
REACT-EARLY-RETURN|web/src/pages/BillingHistoryPage.tsx|8e4f50a64a67
REACT-EARLY-RETURN|web/src/pages/BillingHistoryPage.tsx|b3ad0de4c784
REACT-FRAGMENT|web/src/pages/BillingPage.tsx|511c63478a06
REACT-FRAGMENT|web/src/pages/BillingPage.tsx|4a22f022d8ae
REACT-RETURN-NULL|web/src/pages/BillingPage.tsx|8d91b91d72fe
REACT-RETURN-NULL|web/src/pages/BillingPage.tsx|6e4645ba74cf
REACT-EARLY-RETURN|web/src/pages/CalendarPage.tsx|c692998d0f07
REACT-EARLY-RETURN|web/src/pages/CalendarPage.tsx|5b1e8d4d4139
REACT-FRAGMENT|web/src/pages/KpisPage.tsx|4525955e43e6
REACT-FRAGMENT|web/src/pages/KpisPage.tsx|fb9bc6a12eed
REACT-FRAGMENT|web/src/pages/KpisPage.tsx|cb79b4e8e7fa
REACT-FRAGMENT|web/src/pages/KpisPage.tsx|69a7503b3fd8
REACT-FRAGMENT|web/src/pages/LeadsPage.tsx|c4b8586a8c7b
REACT-FRAGMENT|web/src/pages/LeadsPage.tsx|bd9969fcd523
REACT-FRAGMENT|web/src/pages/LeadsPage.tsx|3449692f7451
REACT-FRAGMENT|web/src/pages/LeadsPage.tsx|81fdc43b9f88
REACT-RETURN-NULL|web/src/pages/LeadsPage.tsx|79535587a6ea
REACT-RETURN-NULL|web/src/pages/LeadsPage.tsx|ddecbff4ff51
REACT-RETURN-NULL|web/src/pages/LeadsPage.tsx|1dbb54cd120e
REACT-RETURN-NULL|web/src/pages/LeadsPage.tsx|06e4077a2ab5
REACT-RETURN-NULL|web/src/pages/LeadsPage.tsx|7db426fabb48
REACT-RETURN-NULL|web/src/pages/LeadsPage.tsx|7ac713bf4876
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|b4ef924f0b63
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|ce316c935cf6
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|4ae795029d3d
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|8740c4478907
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|7e3f87bc2c5c
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|2efac15bab28
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|f4e16bad4256
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|48c8bcb71ba7
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|95a968a00df2
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|a7cd613aa6d3
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|86ddd75cbfe0
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|d0b01f542fec
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|e743a03f53dc
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|9af30e49dbf0
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|1dbb54cd120e
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|7db426fabb48
REACT-EARLY-RETURN|web/src/pages/LeadsPage.tsx|7ac713bf4876
REACT-EARLY-RETURN|web/src/pages/TasksPage.tsx|c8de04eee41f
REACT-EARLY-RETURN|web/src/pages/TasksPage.tsx|fb04ed4bdea0
REACT-EARLY-RETURN|web/src/pages/TasksPage.tsx|73982c78bb22
REACT-EARLY-RETURN|web/src/realtime/RealtimeProvider.tsx|45a59f50c61e
REACT-EARLY-RETURN|web/src/realtime/RealtimeProvider.tsx|20ea8f3b0d50
ORGID-CAST|server/src/routes/deals.dev.ts|98e15601ffae
ORGID-CAST|server/src/routes/deals.dev.ts|175c0475908c
ORGID-CAST|server/src/routes/deals.dev.ts|712173623bd2
ORGID-CAST|server/src/routes/reminders.ts|f7e6bb51bbbc
ORGID-CAST|server/src/routes/reminders.ts|57eb30d4c968
ORGID-CAST|server/src/routes/reminders.ts|106aa1b63691
ORGID-CAST|server/src/routes/tasks.ts|f298ac31ce4f
ORGID-CAST|server/src/routes/tasks.ts|d39ee23b56bb
ORGID-CAST|server/src/routes/tasks.ts|1405171f2d94
ORGID-CAST|server/src/routes/tasks.ts|7efff1932596
ORGID-INVARIANT|server/src/routes/tasks.ts|cd27ce3ba896
REACT-EARLY-RETURN|web/src/components/NeedsAttentionFullscreen.tsx|88cfa72bcb5e
REACT-EARLY-RETURN|web/src/components/NeedsAttentionFullscreen.tsx|5775ae6e0d12
REACT-EARLY-RETURN|web/src/components/NeedsAttentionFullscreen.tsx|a239593d5b2f
REACT-EARLY-RETURN|web/src/components/NeedsAttentionFullscreen.tsx|2c28d0856ebf
REACT-RETURN-NULL|web/src/components/NeedsAttentionTasksCard.tsx|59f411157026
REACT-RETURN-NULL|web/src/components/NeedsAttentionTasksCard.tsx|0188545b7633
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|0188545b7633
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|149dc56fc97a
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|8d4cc91ec176
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|494542ad1bfe
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|0ff306e9fe21
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|d7529de10408
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|cc814e75c3cd
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|4b44db96d193
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|de3f6ab63202
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|7517b71e11f4
REACT-EARLY-RETURN|web/src/components/NeedsAttentionTasksCard.tsx|544fc710750e
REACT-FRAGMENT|web/src/components/PricingSection.tsx|1cae55e1e9f9
REACT-FRAGMENT|web/src/components/PricingSection.tsx|8027e45a190b
REACT-EARLY-RETURN|web/src/components/PricingSection.tsx|bc1f5827b02c
REACT-EARLY-RETURN|web/src/components/TaskEditModal.tsx|62a034d949a1
REACT-EARLY-RETURN|web/src/components/TaskEditModal.tsx|a757732108d1
REACT-EARLY-RETURN|web/src/components/billing/BillingCancelModal.tsx|b1c02678bb1e
REACT-EARLY-RETURN|web/src/components/billing/BillingCancelModal.tsx|7bb65b1c3755
REACT-RETURN-NULL|web/src/components/calendar/EventQuickViewPopover.tsx|5a49686d09f4
REACT-EARLY-RETURN|web/src/components/calendar/EventQuickViewPopover.tsx|d68dedbf7aae
REACT-EARLY-RETURN|web/src/components/calendar/EventQuickViewPopover.tsx|d27664f23675
REACT-EARLY-RETURN|web/src/components/calendar/EventQuickViewPopover.tsx|613bef87ef4c
REACT-EARLY-RETURN|web/src/components/calendar/EventQuickViewPopover.tsx|5a49686d09f4
